DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IA,11,978476,324805,242642.2727
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AL,13,1172866.385,251876.3077,244457.9231
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OR,14,493138.7857,229344.8571,223101.5714
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,LA,15,799665.4,225512.5333,196955.9333
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MD,15,286418.6,264922.8,245425.1333
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,UT,15,557201.2,274377.4667,158530.8667
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,SC,17,682761.7647,223388.2941,194038.3529
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AZ,26,785341.1538,276304.3462,187817.4615
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OK,27,1010658.111,213123.4074,169871.5926
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CT,29,773701.5862,265216.3793,207693.3448
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,KY,29,766458.6897,207201.5862,197561
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NE,30,556943.6333,188018.9,165922.3
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,DC,31,780781.4194,218939.0323,197762.9677
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WI,31,577642.0645,205513.9355,180618.6452
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NJ,40,975750.625,230493.05,207435.425
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WA,41,751396.6098,294264.6585,185616.6341
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,GA,43,667366.1163,206928.8372,194959
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TN,43,726598.814,201593.6744,173493.9535
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IN,47,904915.383,211879.5957,187549.234
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MN,47,666258.5319,242324.7021,195702.2766
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MA,54,1002782.463,337099.2778,310222
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MI,57,614009.3509,249702.5789,221476.6316
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OH,63,819141.619,220014.873,196091.6825
