,DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments,Percent Actually Paid,Percent Covered by Medicare
0,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AL,14,962498.36,284914.79,148511.0,0.7039841293859452,0.1542974057638914
1,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CO,17,1153214.53,263056.94,204396.41,0.7718924509215125,0.1772405781255635
2,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IA,17,758456.82,205891.47,201847.06,0.7285389694300594,0.2661286109867138
3,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MD,20,335844.25,309431.5,306840.8,0.0786458306194017,0.9136401769570269
4,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OR,20,510127.25,252960.5,241896.9,0.5041227458442967,0.4741893321715317
5,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,UT,22,558364.5,230003.36,198987.77,0.5880766775108375,0.3563761127363935
6,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WI,23,612182.13,231920.48,169567.13,0.6211577100429246,0.27698804275779826
7,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,SC,24,815351.0,209670.08,197363.38,0.7428468475539982,0.24205940754349967
8,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,DC,31,859521.77,220607.68,209261.97,0.7433367161834656,0.24346325748095943
9,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CT,32,772939.25,237241.13,227239.88,0.6930662662039739,0.2939944892176196
10,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AR,34,718192.21,180593.47,146455.62,0.748544376442067,0.20392259615291566
11,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OK,34,736870.47,168822.91,160168.44,0.7708920130833848,0.21736308689368433
12,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,AZ,38,576716.66,217138.26,180847.18,0.6234923055630125,0.3135806411418737
13,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,KY,39,768428.74,217295.85,191594.85,0.717220558408578,0.24933326934127947
14,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NJ,45,988326.71,241057.18,209859.29,0.7560956538349551,0.21233797273373298
15,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,GA,48,683211.73,202260.94,186297.21,0.7039556975990444,0.27267858823208435
16,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IN,51,891786.84,209215.22,182900.02,0.7653977266585364,0.20509387646940383
17,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TN,53,842555.4,201722.02,193664.55,0.7605830785726375,0.22985378765598083
18,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NE,54,766459.28,236613.15,188979.7,0.6912906449511578,0.24656195695092895
19,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,WA,58,851506.12,307593.33,251296.95,0.638765567533443,0.2951205447589737
20,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,OH,59,858566.17,236306.97,201217.12,0.724765570485965,0.23436413759465968
